CHARA_ID	CHARA_NAME	CHARA_SHORT_NAME	CHARA_GROUP_ID	DEFAULT_JOIN_MESSAGE	DEFAULT_FIRSTDAY_MESSAGE	DISPLAY_WIDTH	DISPLAY_HEIGHT
1	田美院翔	田	1	俺の歌を聴きに来てくれてありがとう！最後までよろしくな！		50	77
2	天野つぐみ	天	1			50	77
3	市川夢助	市	1			50	77
4	稲沢遥介	稲	1			50	77
5	井上清春	井	1			50	77
6	歌田由佳里	歌	1			50	77
7	大木慎之介	大	1			50	77
8	越智まどか	越	1			50	77
9	鬼束瑠璃	鬼	1			50	77
10	櫛田三四子	櫛	1			50	77
11	後藤拓真	後	1			50	77
12	椎名梨穂	椎	1			50	77
13	清水常雅	清	1			50	77
14	菅原駆	菅	1			50	77
15	高嶺聖子	聖	1			50	77
16	千葉郁也	千	1			50	77
17	椿屋凜子	椿	1			50	77
18	名坂愛子	愛	1			50	77
19	名坂雪	雪	1			50	77
20	デクスター	デ	1			50	77
21	馬場園初音	初	1			50	77
22	竹村茜	竹	1			50	77
23	春原ジン	春	1			50	77
24	ケイティ	ケ	1			50	77
25	古川千夏	古	1			50	77
26	細美悠斗	細	1			50	77
27	堀江豊久	堀	1			50	77
28	山中智秋	山	1			50	77
29	吉田ミチル	吉	1			50	77
30	米津冬馬	米	1			50	77
31	岩崎裕三	岩	1			50	77
32	静子・ギブソン	静	1			50	77
33	南野朱実	南	1			50	77
34	小泉義哉	小	1			50	77
35	楽天家 ゲルト	楽	2	人狼なんているわけないじゃん。みんな大げさだなあ	ふぁーあ……ねむいな……寝てていい？	50	77
36	村長 ヴァルター	長	2			50	77
37	老人 モーリッツ	老	2			50	77
38	神父 ジムゾン	神	2			50	77
39	木こり トーマス	樵	2			50	77
40	旅人 ニコラス	旅	2			50	77
41	ならず者 ディーター	者	2			50	77
42	少年 ペーター	年	2			50	77
43	少女 リーザ	妙	2			50	77
44	行商人 アルビン	商	2			50	77
45	羊飼い カタリナ	羊	2			50	77
46	パン屋 オットー	屋	2			50	77
47	青年 ヨアヒム	青	2			50	77
48	村娘 パメラ	娘	2			50	77
49	農夫 ヤコブ	農	2			50	77
50	宿屋の女主人 レジーナ	宿	2			50	77
51	シスター フリーデル	修	2			50	77
52	仕立て屋 エルナ	服	2			50	77
53	司書 クララ	書	2			50	77
54	負傷兵 シモン	兵	2			50	77
55	ネズミ	子	2			50	77
56	ウシ	丑	2			50	77
57	トラ	寅	2			50	77
58	ウサギ	卯	2			50	77
59	タツ	辰	2			50	77
60	ヘビ	巳	2			50	77
61	ウマ	午	2			50	77
62	ヒツジ	未	2			50	77
63	サル	申	2			50	77
64	トリ	酉	2			50	77
65	イヌ	戌	2			50	77
66	イノシシ	亥	2			50	77
